"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"RP11-440L16.1"	-1.01527818582584	7.15607741569383	79.3591084723969	5.17869397316075e-19	2.77219122554504e-17
"CTC-471J1.9"	0.980393738439351	5.50582856114613	78.6910907620369	7.26223493635399e-19	3.87054923136247e-17
"RP11-434D2.6"	-1.11095410255319	3.77760322486306	78.5743421485811	7.70436086924185e-19	4.08833584387377e-17
"PPP1R1C"	-0.886556078603692	7.13147212621066	78.323330155935	8.74825237185578e-19	4.62218269257575e-17
"FTH1P11"	-0.820254725176235	6.17008865099008	78.1407975337255	9.5951598960135e-19	5.047798557364e-17
"EIF5"	-1.36860845120174	7.58863062684837	77.9767925289119	1.04258310422374e-18	5.46125613178141e-17
"PLCB4"	1.94749833174676	1.54943425793125	77.9414478612936	1.06140652042431e-18	5.53609682981994e-17
"FSTL1"	1.15993513814666	4.30948677796777	77.6781506895802	1.21275486357202e-18	6.29858430208361e-17
"RP11-402J6.2"	1.82446255525501	2.7052368846267	77.56752775162	1.28261540290322e-18	6.63318686120075e-17
"ATP2B2-IT1"	-0.923190214951538	8.1262532616615	77.4832177824733	1.3385498392835e-18	6.89324927782914e-17
"CTD-2369P2.8"	-1.04031590087216	5.82436963218906	77.4481493726502	1.36252810192521e-18	6.98725020336017e-17
"RP11-37E23.5"	-1.14174352480321	5.2957725106692	77.344301219334	1.43608480283546e-18	7.33364645129992e-17
"CTBP2P1"	-0.824492043615572	6.38545295226776	77.2855683177687	1.47943100708869e-18	7.5225103863589e-17
"RP11-307B6.3"	-0.975936664113939	5.10439884629821	77.277621849627	1.48539533233306e-18	7.5225103863589e-17
"RP11-1259L22.1"	0.82872886469625	6.45779797879897	76.9976539681473	1.71161156608335e-18	8.63232196861458e-17
"DCAF12"	-0.841355906617244	6.57679255101971	76.9351688237282	1.76663028516398e-18	8.87313688494911e-17
"GS1-39E22.2"	-0.880476743642617	7.27508485077171	76.7255921787195	1.96441160248013e-18	9.82608344601227e-17
"CTD-2207P18.2"	-0.922824123941129	5.52385224989926	76.5496747328389	2.1474284172455e-18	1.06976995234618e-16
"RP11-498D10.6"	-1.19518466954268	3.04934680636099	76.4353256233269	2.27544280574299e-18	1.12893412374363e-16
